0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42
钢铁行业减碳基准路径 - 适度情景,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
基准年2024 | 碳强度1.95 tCO2/t | CCUS百万吨起步 | 2024-2060逐年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Step 6: 电力结构,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DRI-EAF耗电(kWh/t),500
总耗电量(万kWh),电力结构公式,46284394.5,44283732.900000006,43362199.99999999,42707250,42051100.00000001,41393749.99999999,40735200,40259576,39781744,39301704,38819456,38335000,38082800,37875250,37665600,37501200,37335000,37147500,36958500,36768000,36576000,36382500,36187500,36039375,35890000,35739375,35587500,35333010,35076840,34818990,34559460,34298250,34035360,33820380,33603960,33435930,33266700,,,,
绿电占比,电力结构公式,0,0.025,0.05,0.075,0.09999999999999999,0.125,0.15,0.176,0.202,0.228,0.254,0.28,0.314,0.348,0.382,0.416,0.45,0.468,0.486,0.504,0.522,0.54,0.558,0.5760000000000001,0.594,0.612,0.63,0.649,0.668,0.6869999999999999,0.706,0.725,0.744,0.7629999999999999,0.782,0.8009999999999999,0.82,,,,
总绿电量(万kWh),电力结构公式,0,1107093.3225000002,2168109.9999999995,3203043.75,4205110,5174218.749999999,6110280,7085685.375999999,8035912.288000001,8960788.512,9860141.824000001,10733800.000000002,11957999.2,13180587,14388259.200000001,15600499.2,16800750,17385030,17961831,18531072,19092672,19646550,20192625.000000004,20758680.000000004,21318660,21872497.5,22420125,22931123.490000002,23431329.12,23920646.13,24398978.759999998,24866231.25,25322307.84,25804949.939999998,26278296.720000003,26782179.929999996,27278694,,,,
Step 7: 低碳技术,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
低碳技术名称,逐年技术部署,"干熄焦技术(已部署,含于基准)",厚料层烧结技术,球团废热循环利用技术,-,高炉炉顶煤气干式余压发电技术(TRT),高炉冲渣水直接换热回收余热技术,-,转炉气体及显热回收技术,转炉'负能炼钢'工艺技术,钢包加盖技术,钢包周转优化技术,废钢预热技术,电源及电控系统智能化控制技术,电炉连续加料技术,-,-,-,-,-,连铸坯热送热装技术,-,-,-,薄板坯连铸技术,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,
当年降碳潜力(tCO2/t),逐年假设(可调),0,0.0006666666666666666,0.001333333333333333,0.002,0.002666666666666667,0.003333333333333334,0.004,0.006200000000000001,0.008400000000000001,0.0106,0.0128,0.015,0.017,0.019,0.021,0.023,0.025,0.0255,0.026,0.0265,0.027,0.0275,0.028,0.0285,0.029,0.0295,0.03,0.0288,0.0276,0.0264,0.0252,0.024,0.0228,0.0216,0.0204,0.0192,0.018,,,,
累计降碳潜力(tCO2/t),,0,0.0006666666666666666,0.0019999999999999996,0.004,0.006666666666666667,0.010000000000000002,0.014000000000000002,0.020200000000000003,0.028600000000000004,0.039200000000000006,0.052000000000000005,0.067,0.084,0.10300000000000001,0.12400000000000001,0.14700000000000002,0.17200000000000001,0.1975,0.2235,0.25,0.277,0.30450000000000005,0.3325000000000001,0.3610000000000001,0.3900000000000001,0.4195000000000001,0.4495000000000001,0.4783000000000001,0.5059000000000001,0.5323000000000001,0.5575000000000001,0.5815000000000001,0.6043000000000002,0.6259000000000001,0.6463000000000001,0.6655000000000001,0.6835000000000001,,,,
原始累计(含基准1.95内),,0.066,0.06666666666666667,0.068,0.07,0.07266666666666667,0.07600000000000001,0.08,0.0862,0.0946,0.10520000000000002,0.11800000000000001,0.133,0.15000000000000002,0.169,0.19,0.21300000000000002,0.23800000000000002,0.2635,0.2895,0.316,0.343,0.37050000000000005,0.3985000000000001,0.4270000000000001,0.4560000000000001,0.4855000000000001,0.5155000000000001,0.5443000000000001,0.5719000000000001,0.5983,0.6235000000000002,0.6475000000000002,0.6703000000000001,0.6919000000000002,0.7123000000000002,0.7315,0.7495,,,,
Step 8: 低碳发展测算表(Waterfall),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
